Data type,Cancer group/site,Year,Sex,Age group (years),Count,ICD10 codes
Actual,Melanoma of the skin,1975,Males,75–79,15,C43
Actual,Melanoma of the skin,1975,Males,80–84,9,C43
Actual,Melanoma of the skin,1975,Males,85–89,6,C43
Actual,Melanoma of the skin,1975,Males,90+,1,C43
Actual,Melanoma of the skin,1975,Males,All ages combined,250,C43
Actual,Melanoma of the skin,1976,Males,00–04,0,C43
Actual,Melanoma of the skin,1976,Males,05–09,0,C43
Actual,Melanoma of the skin,1976,Males,10–14,0,C43
Actual,Melanoma of the skin,1976,Males,15–19,3,C43
Actual,Melanoma of the skin,1976,Males,20–24,7,C43
Actual,Melanoma of the skin,1976,Males,25–29,16,C43
Actual,Melanoma of the skin,1976,Males,30–34,16,C43
Actual,Melanoma of the skin,1976,Males,35–39,14,C43
Actual,Melanoma of the skin,1976,Males,40–44,21,C43
Actual,Melanoma of the skin,1976,Males,45–49,24,C43
Actual,Melanoma of the skin,1976,Males,50–54,26,C43
Actual,Melanoma of the skin,1976,Males,55–59,25,C43
Actual,Melanoma of the skin,1976,Males,60–64,38,C43
Actual,Melanoma of the skin,1976,Males,65–69,27,C43
Actual,Melanoma of the skin,1976,Males,70–74,17,C43
Actual,Melanoma of the skin,1976,Males,75–79,15,C43
Actual,Melanoma of the skin,1976,Males,80–84,8,C43
Actual,Melanoma of the skin,1976,Males,85–89,3,C43
Actual,Melanoma of the skin,1976,Males,90+,0,C43
Actual,Melanoma of the skin,1976,Males,All ages combined,260,C43
Actual,Melanoma of the skin,1977,Males,00–04,0,C43
Actual,Melanoma of the skin,1977,Males,05–09,0,C43
Actual,Melanoma of the skin,1977,Males,10–14,0,C43
Actual,Melanoma of the skin,1977,Males,15–19,3,C43
Actual,Melanoma of the skin,1977,Males,20–24,4,C43
Actual,Melanoma of the skin,1977,Males,25–29,12,C43
Actual,Melanoma of the skin,1977,Males,30–34,16,C43
Actual,Melanoma of the skin,1977,Males,35–39,20,C43
Actual,Melanoma of the skin,1977,Males,40–44,17,C43
Actual,Melanoma of the skin,1977,Males,45–49,28,C43
Actual,Melanoma of the skin,1977,Males,50–54,30,C43
Actual,Melanoma of the skin,1977,Males,55–59,34,C43
Actual,Melanoma of the skin,1977,Males,60–64,40,C43
Actual,Melanoma of the skin,1977,Males,65–69,36,C43
Actual,Melanoma of the skin,1977,Males,70–74,28,C43
Actual,Melanoma of the skin,1977,Males,75–79,20,C43
Actual,Melanoma of the skin,1977,Males,80–84,13,C43
Actual,Melanoma of the skin,1977,Males,85–89,6,C43
Actual,Melanoma of the skin,1977,Males,90+,3,C43
Actual,Melanoma of the skin,1977,Males,All ages combined,310,C43
Actual,Melanoma of the skin,1978,Males,00–04,0,C43
Actual,Melanoma of the skin,1978,Males,05–09,0,C43
Actual,Melanoma of the skin,1978,Males,10–14,0,C43
Actual,Melanoma of the skin,1978,Males,15–19,2,C43
Actual,Melanoma of the skin,1978,Males,20–24,9,C43
Actual,Melanoma of the skin,1978,Males,25–29,8,C43
Actual,Melanoma of the skin,1978,Males,30–34,23,C43
Actual,Melanoma of the skin,1978,Males,35–39,25,C43
Actual,Melanoma of the skin,1978,Males,40–44,24,C43
Actual,Melanoma of the skin,1978,Males,45–49,24,C43
Actual,Melanoma of the skin,1978,Males,50–54,38,C43
Actual,Melanoma of the skin,1978,Males,55–59,34,C43
Actual,Melanoma of the skin,1978,Males,60–64,32,C43
Actual,Melanoma of the skin,1978,Males,65–69,32,C43
Actual,Melanoma of the skin,1978,Males,70–74,35,C43
Actual,Melanoma of the skin,1978,Males,75–79,8,C43
Actual,Melanoma of the skin,1978,Males,80–84,10,C43
Actual,Melanoma of the skin,1978,Males,85–89,6,C43
Actual,Melanoma of the skin,1978,Males,90+,2,C43
Actual,Melanoma of the skin,1978,Males,All ages combined,312,C43
Actual,Melanoma of the skin,1979,Males,00–04,0,C43
Actual,Melanoma of the skin,1979,Males,05–09,0,C43
Actual,Melanoma of the skin,1979,Males,10–14,0,C43
Actual,Melanoma of the skin,1979,Males,15–19,1,C43
Actual,Melanoma of the skin,1979,Males,20–24,3,C43
Actual,Melanoma of the skin,1979,Males,25–29,11,C43
Actual,Melanoma of the skin,1979,Males,30–34,25,C43
Actual,Melanoma of the skin,1979,Males,35–39,19,C43
Actual,Melanoma of the skin,1979,Males,40–44,20,C43
Actual,Melanoma of the skin,1979,Males,45–49,27,C43
Actual,Melanoma of the skin,1979,Males,50–54,35,C43
Actual,Melanoma of the skin,1979,Males,55–59,53,C43
Actual,Melanoma of the skin,1979,Males,60–64,35,C43
Actual,Melanoma of the skin,1979,Males,65–69,38,C43
Actual,Melanoma of the skin,1979,Males,70–74,31,C43
Actual,Melanoma of the skin,1979,Males,75–79,19,C43
Actual,Melanoma of the skin,1979,Males,80–84,8,C43
Actual,Melanoma of the skin,1979,Males,85–89,4,C43
Actual,Melanoma of the skin,1979,Males,90+,1,C43
Actual,Melanoma of the skin,1979,Males,All ages combined,330,C43
Actual,Melanoma of the skin,1980,Males,00–04,0,C43
Actual,Melanoma of the skin,1980,Males,05–09,0,C43
Actual,Melanoma of the skin,1980,Males,10–14,0,C43
Actual,Melanoma of the skin,1980,Males,15–19,3,C43
Actual,Melanoma of the skin,1980,Males,20–24,3,C43
Actual,Melanoma of the skin,1980,Males,25–29,12,C43
Actual,Melanoma of the skin,1980,Males,30–34,21,C43
Actual,Melanoma of the skin,1980,Males,35–39,17,C43
Actual,Melanoma of the skin,1980,Males,40–44,16,C43
Actual,Melanoma of the skin,1980,Males,45–49,24,C43
Actual,Melanoma of the skin,1980,Males,50–54,34,C43
Actual,Melanoma of the skin,1980,Males,55–59,44,C43
Actual,Melanoma of the skin,1980,Males,60–64,47,C43
Actual,Melanoma of the skin,1980,Males,65–69,40,C43
Actual,Melanoma of the skin,1980,Males,70–74,41,C43
Actual,Melanoma of the skin,1980,Males,75–79,22,C43
Actual,Melanoma of the skin,1980,Males,80–84,9,C43
Actual,Melanoma of the skin,1980,Males,85–89,4,C43
Actual,Melanoma of the skin,1980,Males,90+,2,C43
Actual,Melanoma of the skin,1980,Males,All ages combined,339,C43
Actual,Melanoma of the skin,1981,Males,00–04,0,C43
Actual,Melanoma of the skin,1981,Males,05–09,0,C43
Actual,Melanoma of the skin,1981,Males,10–14,1,C43
Actual,Melanoma of the skin,1981,Males,15–19,1,C43
Actual,Melanoma of the skin,1981,Males,20–24,4,C43
Actual,Melanoma of the skin,1981,Males,25–29,20,C43
Actual,Melanoma of the skin,1981,Males,30–34,22,C43
Actual,Melanoma of the skin,1981,Males,35–39,19,C43
Actual,Melanoma of the skin,1981,Males,40–44,15,C43
Actual,Melanoma of the skin,1981,Males,45–49,27,C43
Actual,Melanoma of the skin,1981,Males,50–54,32,C43
Actual,Melanoma of the skin,1981,Males,55–59,52,C43
Actual,Melanoma of the skin,1981,Males,60–64,42,C43
Actual,Melanoma of the skin,1981,Males,65–69,44,C43
Actual,Melanoma of the skin,1981,Males,70–74,41,C43
Actual,Melanoma of the skin,1981,Males,75–79,29,C43
Actual,Melanoma of the skin,1981,Males,80–84,13,C43
Actual,Melanoma of the skin,1981,Males,85–89,2,C43
Actual,Melanoma of the skin,1981,Males,90+,0,C43
Actual,Melanoma of the skin,1981,Males,All ages combined,364,C43
Actual,Melanoma of the skin,1982,Males,00–04,0,C43
Actual,Melanoma of the skin,1982,Males,05–09,0,C43
Actual,Melanoma of the skin,1982,Males,10–14,1,C43
Actual,Melanoma of the skin,1982,Males,15–19,3,C43
Actual,Melanoma of the skin,1982,Males,20–24,7,C43
Actual,Melanoma of the skin,1982,Males,25–29,5,C43
Actual,Melanoma of the skin,1982,Males,30–34,19,C43
Actual,Melanoma of the skin,1982,Males,35–39,25,C43
Actual,Melanoma of the skin,1982,Males,40–44,23,C43
Actual,Melanoma of the skin,1982,Males,45–49,30,C43
Actual,Melanoma of the skin,1982,Males,50–54,39,C43
Actual,Melanoma of the skin,1982,Males,55–59,42,C43
Actual,Melanoma of the skin,1982,Males,60–64,36,C43
Actual,Melanoma of the skin,1982,Males,65–69,59,C43
Actual,Melanoma of the skin,1982,Males,70–74,49,C43
Actual,Melanoma of the skin,1982,Males,75–79,21,C43
Actual,Melanoma of the skin,1982,Males,80–84,14,C43
Actual,Melanoma of the skin,1982,Males,85–89,5,C43
Actual,Melanoma of the skin,1982,Males,90+,2,C43
Actual,Melanoma of the skin,1982,Males,All ages combined,380,C43
Actual,Melanoma of the skin,1983,Males,00–04,0,C43
Actual,Melanoma of the skin,1983,Males,05–09,0,C43
Actual,Melanoma of the skin,1983,Males,10–14,0,C43
Actual,Melanoma of the skin,1983,Males,15–19,1,C43
Actual,Melanoma of the skin,1983,Males,20–24,7,C43
Actual,Melanoma of the skin,1983,Males,25–29,7,C43
Actual,Melanoma of the skin,1983,Males,30–34,21,C43
Actual,Melanoma of the skin,1983,Males,35–39,22,C43
Actual,Melanoma of the skin,1983,Males,40–44,24,C43
Actual,Melanoma of the skin,1983,Males,45–49,16,C43
